0, 3, 2, 
0, 4, 3, 
0, 5, 4, 
0, 6, 5, 
0, 7, 6, 
0, 8, 7, 
0, 9, 8, 
0, 2, 9, 
2, 3, 11, 
3, 4, 12, 
4, 5, 13, 
5, 6, 14, 
6, 7, 15, 
7, 8, 16, 
8, 9, 17, 
9, 2, 10, 
10, 11, 19, 
11, 12, 20, 
12, 13, 21, 
13, 14, 22, 
14, 15, 23, 
15, 16, 24, 
16, 17, 25, 
17, 10, 18, 
18, 19, 27, 
19, 20, 28, 
20, 21, 29, 
21, 22, 30, 
22, 23, 31, 
23, 24, 32, 
24, 25, 33, 
25, 18, 26, 
26, 27, 35, 
27, 28, 36, 
28, 29, 37, 
29, 30, 38, 
30, 31, 39, 
31, 32, 40, 
32, 33, 41, 
33, 26, 34, 
34, 35, 43, 
35, 36, 44, 
36, 37, 45, 
37, 38, 46, 
38, 39, 47, 
39, 40, 48, 
40, 41, 49, 
41, 34, 42, 
42, 43, 1, 
43, 44, 1, 
44, 45, 1, 
45, 46, 1, 
46, 47, 1, 
47, 48, 1, 
48, 49, 1, 
49, 42, 1, 
42, 49, 41, 
49, 48, 40, 
48, 47, 39, 
47, 46, 38, 
46, 45, 37, 
45, 44, 36, 
44, 43, 35, 
43, 42, 34, 
34, 41, 33, 
41, 40, 32, 
40, 39, 31, 
39, 38, 30, 
38, 37, 29, 
37, 36, 28, 
36, 35, 27, 
35, 34, 26, 
26, 33, 25, 
33, 32, 24, 
32, 31, 23, 
31, 30, 22, 
30, 29, 21, 
29, 28, 20, 
28, 27, 19, 
27, 26, 18, 
18, 25, 17, 
25, 24, 16, 
24, 23, 15, 
23, 22, 14, 
22, 21, 13, 
21, 20, 12, 
20, 19, 11, 
19, 18, 10, 
10, 17, 9, 
17, 16, 8, 
16, 15, 7, 
15, 14, 6, 
14, 13, 5, 
13, 12, 4, 
12, 11, 3, 
11, 10, 2, 
